fund_name,fund_extended_name,category,net_assets,ytd_return,fund_yield,morningstar_rating,investment,size,currency,portfolio_cash,portfolio_stocks,portfolio_bonds,price_earnings,price_sales,basic_materials,consumer_cyclical,financial_services,real_estate,consumer_defensive,healthcare,utilities,communication_services,energy,industrials,technology,fund_return_2018,fund_return_2017,fund_return_2016
FCAKX,Fidelity Capital Appreciation Fund Class K,Large Growth,6230000000.0,13.59,0.81,3.0,Growth,Large,USD,0.33,99.67,0.0,20.62,3.08,2.77,13.95,18.63,1.0,6.38,17.47,0.0,3.14,3.44,9.21,24.0,-4.84,24.06,3.29
FCAMX,Franklin California High Yield Municipal Fund Class A1,Muni California Long,2630000000.0,3.54,3.72,5.0,Blend,Small,USD,0.12,0.0,99.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,7.12,1.07
FCANX,Fidelity Advisor Asset Manager 30% Fund Class C,Allocation - 15% to 30% Equity,1600000000.0,5.42,1.0,3.0,Growth,Large,USD,20.12,29.75,46.65,15.05,1.53,4.04,11.64,16.79,5.21,7.79,12.59,3.13,2.89,5.29,10.15,20.48,-3.98,8.23,4.45
FCASX,Fidelity Advisor Asset Manager 70% Fund Class C,Allocation - 50% to 70% Equity,5220000000.0,9.95,0.33,3.0,Growth,Large,USD,5.23,70.39,20.16,15.09,1.57,4.0,11.57,17.18,4.36,7.9,12.83,3.17,2.78,5.46,10.09,20.64,-8.64,17.47,5.94
FCAVX,Franklin California Tax Free Income Fund Advisor Class,Muni California Long,15210000000.0,3.43,3.58,4.0,Blend,Medium,USD,0.9,0.0,99.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,6.19,0.78
FCAZX,Franklin Corefolio Allocation Fund Advisor Class,Allocation - 85%+ Equity,791480000.0,13.14,0.96,5.0,Growth,Large,USD,2.96,95.37,1.57,15.87,1.43,2.74,8.53,18.4,1.52,5.52,17.08,0.71,6.0,5.76,12.64,21.1,-6.85,20.4,7.9
FCBCX,Nuveen Strategic Income Fund Class C,Multisector Bond,579980000.0,5.28,2.67,3.0,Blend,Medium,USD,1.4,0.0,89.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.04,4.34,8.33
FCBSX,Franklin Mutual U.S. Value Fund Class C,Mid-Cap Value,866230000.0,11.17,0.0,1.0,Value,Large,USD,14.52,83.62,1.03,11.26,0.87,5.09,16.78,29.27,2.94,5.59,5.08,0.0,0.0,15.27,12.55,7.42,-13.1,11.58,19.57
FCBYX,Nuveen Strategic Income Fund Class I,Multisector Bond,579980000.0,5.51,3.65,4.0,Blend,Medium,USD,1.4,0.0,89.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.13,5.47,9.41
FCCGX,Fidelity Advisor Small Cap Growth Fund Class C,Small Growth,4010000000.0,19.5,0.0,4.0,Growth,Medium,USD,0.7,98.2,0.0,19.16,1.49,2.26,14.37,7.71,1.0,5.72,25.57,0.0,1.74,0.85,18.54,22.25,-5.58,27.61,9.86
FCCIX,Franklin California Intermediate-Term Tax-Free Income Fund Class C,Muni California Intermediate,1590000000.0,1.92,2.15,2.0,Value,Medium,USD,2.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,3.45,-0.67
FCCVX,Fidelity Advisor Convertible Securities Fund Class C,Convertibles,1450000000.0,11.26,2.28,2.0,Growth,Large,USD,0.7,10.62,0.35,14.34,2.59,4.31,3.76,0.0,0.0,0.0,0.0,25.4,4.58,0.0,2.37,59.57,-2.51,8.52,4.87
FCDAX,Fidelity Advisor Stock Selector Small Cap Fund Class A,Small Blend,1130000000.0,15.95,0.04,3.0,Growth,Small,USD,1.63,98.38,0.0,16.57,1.4,4.43,14.39,19.14,6.37,6.06,14.74,0.8,0.93,2.31,12.98,17.85,-8.75,11.34,15.04
FCDCX,Fidelity Advisor Stock Selector Small Cap Fund Class C,Small Blend,1130000000.0,15.69,0.0,3.0,Growth,Small,USD,1.63,98.38,0.0,16.57,1.4,4.43,14.39,19.14,6.37,6.06,14.74,0.8,0.93,2.31,12.98,17.85,-9.51,10.47,14.05
FCDDX,Nuveen Strategic Income Fund Class A,Multisector Bond,579980000.0,5.45,3.42,4.0,Blend,Medium,USD,1.4,0.0,89.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.36,5.14,9.15
FCDIX,Fidelity Advisor Stock Selector Small Cap Fund I Class,Small Blend,1130000000.0,16.07,0.21,4.0,Growth,Small,USD,1.63,98.38,0.0,16.57,1.4,4.43,14.39,19.14,6.37,6.06,14.74,0.8,0.93,2.31,12.98,17.85,-8.54,11.72,15.34
FCDTX,Fidelity Advisor Stock Selector Small Cap Fund Class M,Small Blend,1130000000.0,15.9,0.0,3.0,Growth,Small,USD,1.63,98.38,0.0,16.57,1.4,4.43,14.39,19.14,6.37,6.06,14.74,0.8,0.93,2.31,12.98,17.85,-9.09,10.97,14.59
FCECX,Fidelity Advisor Consumer Discretionary Fund Class C,Consumer Cyclical,400400000.0,14.86,0.0,4.0,Growth,Large,USD,0.28,99.72,0.0,22.46,1.75,0.0,87.87,0.29,0.0,10.78,0.0,0.0,0.0,0.0,0.0,1.06,-2.1,20.95,3.34
FCEDX,Franklin Select U.S. Equity Fund Class C,Large Growth,119680000.0,14.73,0.0,1.0,Growth,Large,USD,6.99,93.01,0.0,24.77,3.84,3.2,12.59,11.59,0.0,6.24,16.24,2.73,2.19,2.68,10.93,31.61,-6.56,11.26,5.04
FCEPX,Fidelity Advisor Total Bond Fund Class C,Intermediate-Term Bond,21800000000.0,3.57,2.19,3.0,Blend,Medium,USD,7.03,0.04,92.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.73,3.08,4.73
FCEQX,Franklin Select U.S. Equity Fund Class A,Large Growth,119680000.0,14.93,0.0,2.0,Growth,Large,USD,6.99,93.01,0.0,24.77,3.84,3.2,12.59,11.59,0.0,6.24,16.24,2.73,2.19,2.68,10.93,31.61,-5.85,12.07,5.8
FCERX,Franklin Select U.S. Equity Fund Class R,Large Growth,119680000.0,14.91,0.0,1.0,Growth,Large,USD,6.99,93.01,0.0,24.77,3.84,3.2,12.59,11.59,0.0,6.24,16.24,2.73,2.19,2.68,10.93,31.61,-6.18,11.93,5.63
FCEZX,Franklin Select U.S. Equity Fund Advisor Class,Large Growth,119680000.0,15.02,0.0,2.0,Growth,Large,USD,6.99,93.01,0.0,24.77,3.84,3.2,12.59,11.59,0.0,6.24,16.24,2.73,2.19,2.68,10.93,31.61,-5.64,12.41,6.03
FCFCX,Fidelity Advisor Freedom 2010 Fund Class C,Target-Date 2000-2010,420540000.0,6.1,0.89,2.0,Blend,Large,USD,16.75,34.47,48.33,15.0,1.48,4.61,10.59,22.32,2.73,6.64,11.41,1.96,2.87,6.65,10.22,20.02,-4.22,11.06,5.34
FCFEX,Fidelity Advisor Freedom 2030 Fund Class C,Target-Date 2030,2980000000.0,10.0,1.03,3.0,Blend,Large,USD,7.22,67.93,24.21,15.21,1.49,4.33,10.49,21.93,2.64,6.66,12.01,1.98,3.03,6.65,10.26,20.03,-7.44,18.16,6.94
FCFFX,Fidelity Advisor Freedom 2040 Fund Class C,Target-Date 2040,2180000000.0,11.96,0.9,2.0,Blend,Large,USD,6.16,85.97,7.13,15.29,1.5,4.29,10.5,21.83,2.61,6.64,12.12,1.96,3.04,6.6,10.31,20.1,-9.21,20.5,7.3
FCFRX,Franklin Floating Rate Daily Access Fund Class C,Bank Loan,3220000000.0,2.37,4.54,2.0,Value,Small,USD,5.03,0.35,90.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.26,1.79,11.04
FCFTX,Fidelity Advisor Freedom 2010 Fund Class M,Target-Date 2000-2010,420540000.0,6.35,1.46,3.0,Blend,Large,USD,16.75,34.47,48.33,15.0,1.48,4.61,10.59,22.32,2.73,6.64,11.41,1.96,2.87,6.65,10.22,20.02,-3.72,11.57,5.91
FCFVX,Fidelity Advisor Freedom 2005 Fund Class C,Target-Date 2000-2010,164330000.0,5.09,1.03,1.0,Blend,Large,USD,19.73,25.44,54.42,14.89,1.47,4.76,10.62,22.54,2.8,6.62,11.1,1.94,2.78,6.64,10.24,19.96,-3.34,9.24,4.78
FCGAX,Franklin Growth Fund Advisor Class,Large Growth,15620000000.0,15.28,0.66,4.0,Growth,Large,USD,1.26,98.74,0.0,19.52,3.18,4.86,8.03,8.42,0.58,3.46,21.02,1.09,1.98,1.0,24.12,25.43,-3.15,27.13,8.68
FCGCX,Fidelity Advisor Global Commodity Stock Fund Class C,Natural Resources,557130000.0,10.87,0.85,3.0,Value,Large,USD,3.47,96.53,0.0,12.88,0.89,57.01,1.25,0.0,0.0,7.02,0.0,0.0,0.0,33.43,1.29,0.0,-14.07,17.32,29.04
FCHIX,Franklin High Income Fund Class C,High Yield Bond,3070000000.0,7.68,5.12,2.0,Growth,Small,USD,3.58,1.65,93.61,8.32,0.69,10.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.98,9.55,0.0,-4.17,6.66,18.47
FCHKX,Fidelity Advisor China Region Fund Class C,China Region,1240000000.0,18.65,0.0,3.0,Blend,Large,USD,1.32,98.28,0.4,13.32,1.34,5.06,17.25,18.99,5.83,6.14,3.42,1.65,2.48,2.71,6.6,29.87,-18.29,50.37,-6.25
FCIFX,Fidelity Advisor Freedom 2010 Fund Class I,Target-Date 2000-2010,420540000.0,6.39,1.94,4.0,Blend,Large,USD,16.75,34.47,48.33,15.0,1.48,4.61,10.59,22.32,2.73,6.64,11.41,1.96,2.87,6.65,10.22,20.02,-3.26,12.25,6.33
FCIGX,Fidelity Advisor Small Cap Growth Fund I Class,Small Growth,4010000000.0,19.8,0.0,5.0,Growth,Medium,USD,0.7,98.2,0.0,19.16,1.49,2.26,14.37,7.71,1.0,5.72,25.57,0.0,1.74,0.85,18.54,22.25,-4.58,28.98,11.0
FCIPX,Nuveen Inflation Protected Securities Fund Class C,Inflation-Protected Bond,623640000.0,2.87,1.52,2.0,Blend,Large,USD,0.97,0.0,98.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.38,2.07,2.63
FCISX,Franklin Income Fund Class C,Allocation - 30% to 50% Equity,75050000000.0,9.6,4.59,4.0,Value,Large,USD,4.35,33.67,50.37,13.39,1.18,8.71,6.06,14.65,1.59,9.43,11.75,18.66,4.9,14.49,4.4,5.37,-5.73,8.22,15.52
FCITX,Franklin Federal Intermediate-Term Tax-Free Income Fund Class C,Muni National Interm,3550000000.0,1.74,2.14,2.0,Value,Large,USD,1.73,0.0,98.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,2.93,-1.12
FCIZX,FCI Bond Fund,Intermediate-Term Bond,36130000.0,2.73,2.13,2.0,Value,Medium,USD,2.58,0.0,97.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,2.06,2.22
FCKSX,Nuveen Kansas Municipal Bond Fund Class C2,Muni Single State Long,248810000.0,2.27,2.59,3.0,Blend,Medium,USD,1.46,0.0,97.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,4.05,-1.03
FCLAX,Fidelity Advisor Industrials Fund Class A,Industrials,661220000.0,17.87,0.46,3.0,Growth,Large,USD,0.06,99.94,0.0,17.93,2.06,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.01,5.94,-15.58,19.56,15.48
FCLCX,Fidelity Advisor Industrials Fund Class C,Industrials,661220000.0,17.64,0.0,3.0,Growth,Large,USD,0.06,99.94,0.0,17.93,2.06,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.01,5.94,-16.2,18.65,14.61
FCLIX,Fidelity Advisor Industrials Fund I Class,Industrials,661220000.0,17.93,0.7,3.0,Growth,Large,USD,0.06,99.94,0.0,17.93,2.06,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.01,5.94,-15.34,19.87,15.77
FCLTX,Fidelity Advisor Industrials Fund Class M,Industrials,661220000.0,17.77,0.17,3.0,Growth,Large,USD,0.06,99.94,0.0,17.93,2.06,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.01,5.94,-15.79,19.23,15.18
FCMAX,Fidelity Advisor California Municipal Income Fund Class A,Muni California Long,2000000000.0,2.88,2.61,2.0,Blend,Medium,USD,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,5.52,-0.56
FCMKX,Fidelity Advisor California Municipal Income Fund Class C,Muni California Long,2000000000.0,2.69,1.88,1.0,Blend,Medium,USD,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43,4.73,-1.24
FCMNX,Nuveen Minnesota Municipal Bond Fund Class C1,Muni Minnesota,418610000.0,2.77,2.58,4.0,Growth,Medium,USD,0.09,0.0,98.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14,5.93,-0.79
FCMQX,Fidelity Advisor California Municipal Income Fund Class I,Muni California Long,2000000000.0,2.94,2.85,3.0,Blend,Medium,USD,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,5.78,-0.24
FCMTX,Fidelity Advisor California Municipal Income Fund Class M,Muni California Long,2000000000.0,2.88,2.65,2.0,Blend,Medium,USD,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,5.47,-0.44
FCNAX,Fidelity Advisor Consumer Discretionary Fund Class A,Consumer Cyclical,400400000.0,15.07,0.0,4.0,Growth,Large,USD,0.28,99.72,0.0,22.46,1.75,0.0,87.87,0.29,0.0,10.78,0.0,0.0,0.0,0.0,0.0,1.06,-1.36,21.77,4.14
FCNBX,Templeton International Bond Fund Class C,World Bond,404280000.0,1.94,6.33,3.0,,,USD,40.6,0.0,59.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,1.84,6.43
FCNCX,Nuveen North Carolina Municipal Bond Fund Class C2,Muni Single State Long,498300000.0,2.61,2.12,2.0,Growth,Large,USD,0.0,0.0,98.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.65,4.24,-0.5
FCNIX,Fidelity Advisor Consumer Discretionary Fund I Class,Consumer Cyclical,400400000.0,15.15,0.0,4.0,Growth,Large,USD,0.28,99.72,0.0,22.46,1.75,0.0,87.87,0.29,0.0,10.78,0.0,0.0,0.0,0.0,0.0,1.06,-1.08,22.18,4.4
FCNKX,Fidelity Contrafund Fund Class K,Large Growth,119280000000.0,14.54,0.0,4.0,Growth,Large,USD,2.37,96.17,0.0,23.99,3.28,1.48,15.64,21.8,0.25,3.75,14.51,0.42,0.87,2.27,3.59,35.41,-2.07,32.34,3.48
FCNRX,Nuveen North Carolina Municipal Bond Fund Class I,Muni Single State Long,498300000.0,2.79,2.86,4.0,Growth,Large,USD,0.0,0.0,98.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,5.04,0.27
FCNTX,Fidelity Contrafund Fund,Large Growth,119280000000.0,14.54,0.0,3.0,Growth,Large,USD,2.37,96.17,0.0,23.99,3.28,1.48,15.64,21.8,0.25,3.75,14.51,0.42,0.87,2.27,3.59,35.41,-2.13,32.21,3.36
FCNZX,Franklin Connecticut Tax-Free Income Fund Advisor Class,Muni Single State Long,218750000.0,1.72,3.28,3.0,Value,Medium,USD,0.13,0.0,99.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,1.93,1.32
FCOCX,Nuveen Colorado Municipal Bond Fund Class C2,Muni Single State Long,283290000.0,2.59,2.69,4.0,Growth,Medium,USD,0.1,0.0,97.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,5.1,-0.2
FCOIX,Franklin Colorado Tax Free Income Fund Class C,Muni Single State Long,676470000.0,2.26,2.68,3.0,Value,Medium,USD,0.97,0.0,99.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,2.26,0.82
FCORX,Nuveen Colorado Municipal Bond Fund Class I,Muni Single State Long,283290000.0,2.78,3.41,5.0,Growth,Medium,USD,0.1,0.0,97.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,5.96,0.54
FCOTX,Nuveen Colorado Municipal Bond Fund Class A,Muni Single State Long,283290000.0,2.73,3.24,5.0,Growth,Medium,USD,0.1,0.0,97.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,5.78,0.28
FCOZX,Franklin Colorado Tax Free Income Fund Advisor Class,Muni Single State Long,676470000.0,2.46,3.37,4.0,Value,Medium,USD,0.97,0.0,99.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,2.88,1.5
FCPAX,Fidelity Advisor International Capital Appreciation Fund Class A,Foreign Large Growth,2100000000.0,14.94,0.19,5.0,Growth,Large,USD,4.14,95.86,0.0,23.58,3.13,4.38,12.0,17.04,3.59,14.13,7.14,2.64,0.0,1.18,15.78,22.12,-13.07,35.5,-3.4
FCPCX,Fidelity Advisor International Capital Appreciation Fund Class C,Foreign Large Growth,2100000000.0,14.71,0.0,4.0,Growth,Large,USD,4.14,95.86,0.0,23.58,3.13,4.38,12.0,17.04,3.59,14.13,7.14,2.64,0.0,1.18,15.78,22.12,-13.67,34.46,-4.2
FCPEX,Fidelity Small Cap Enhanced Index Fund,Small Blend,670840000.0,13.59,0.88,3.0,Blend,Small,USD,1.12,98.81,0.07,14.12,0.76,5.4,12.68,15.9,6.41,4.46,14.77,2.37,0.7,1.81,15.89,19.61,-13.04,7.22,22.84
FCPGX,Fidelity Small Cap Growth Fund,Small Growth,4010000000.0,19.76,0.0,5.0,Growth,Medium,USD,0.7,98.2,0.0,19.16,1.49,2.26,14.37,7.71,1.0,5.72,25.57,0.0,1.74,0.85,18.54,22.25,-4.58,29.01,10.97
FCPIX,Fidelity Advisor International Capital Appreciation Fund I Class,Foreign Large Growth,2100000000.0,14.99,0.47,5.0,Growth,Large,USD,4.14,95.86,0.0,23.58,3.13,4.38,12.0,17.04,3.59,14.13,7.14,2.64,0.0,1.18,15.78,22.12,-12.78,35.87,-3.24
FCPVX,Fidelity Small Cap Value Fund,Small Value,2110000000.0,10.81,0.75,4.0,Value,Small,USD,3.86,95.67,0.47,13.1,0.86,3.37,15.04,26.53,11.01,2.93,1.99,4.67,0.0,7.35,18.19,8.91,-15.04,12.26,21.28
FCRFX,Fidelity Advisor Managed Retirement 2025 Fund Class C,Target-Date 2025,17390000.0,7.37,0.95,2.0,Blend,Large,USD,11.32,46.59,41.43,14.37,1.3,4.17,12.41,21.35,2.42,6.51,12.51,2.09,2.44,6.84,10.18,19.08,-6.01,13.1,6.06
FCRPX,Fidelity Advisor Simplicity RMD 2005 Fund Class C,Target-Date 2000-2010,17710000.0,4.28,1.08,2.0,Blend,Large,USD,22.77,18.18,58.67,14.07,1.3,4.83,12.25,22.36,2.64,6.47,11.18,2.01,2.17,6.81,10.25,19.03,-2.95,8.34,5.65
FCRSX,Fidelity Advisor Managed Retirement 2015 Fund Class C,Target-Date 2015,4020000.0,5.98,0.9,2.0,Blend,Large,USD,14.66,33.77,50.99,14.3,1.3,4.35,12.35,21.62,2.48,6.5,12.14,2.07,2.37,6.83,10.19,19.1,-4.62,10.93,5.97
FCRVX,Fidelity Advisor Managed Retirement 2020 Fund Class C,Target-Date 2020,3050000.0,6.77,0.94,3.0,Blend,Large,USD,12.73,41.31,45.34,14.34,1.3,4.24,12.39,21.45,2.44,6.5,12.38,2.08,2.41,6.83,10.18,19.09,-5.4,12.15,6.02
FCRWX,Fidelity Advisor Simplicity RMD 2020 Fund Class C,Target-Date 2020,37740000.0,7.07,0.94,3.0,Blend,Large,USD,14.61,44.38,40.47,14.34,1.3,4.19,12.43,21.37,2.42,6.5,12.49,2.09,2.42,6.84,10.18,19.07,-5.67,12.82,6.01
FCSCX,Franklin Adjustable U.S. Government Securities Fund Class C,Short Government,784840000.0,0.39,2.28,1.0,Value,Large,USD,6.08,0.0,93.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,-0.51,-0.31
FCSDX,Fidelity Advisor Strategic Dividend & Income Fund Class C,Allocation - 70% to 85% Equity,4720000000.0,11.04,1.88,4.0,Value,Large,USD,3.17,65.36,10.04,17.91,2.07,3.42,4.94,5.91,22.03,16.56,13.79,5.2,4.77,9.33,6.76,7.29,-5.57,11.13,11.49
FCSGX,Franklin Small Cap Growth Fund Class C,Small Growth,2570000000.0,18.71,0.0,3.0,Growth,Small,USD,1.03,98.97,0.0,19.38,1.38,5.09,12.89,7.83,1.01,3.55,22.84,0.0,0.0,2.58,13.35,30.87,-3.29,20.07,7.53
FCSHX,Fidelity Advisor Limited Term Municipal Income Fund Class C,Muni National Short,2850000000.0,1.22,0.6,1.0,Value,Medium,USD,3.15,0.0,96.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,1.25,-1.42
FCSIX,Nuveen High Income Bond Fund Class C,High Yield Bond,315640000.0,8.01,6.09,2.0,Value,Small,USD,3.91,0.0,93.64,5.86,0.56,98.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23,0.0,0.0,-5.37,6.5,20.58
FCSMX,Franklin International Small Cap Fund Class C,Foreign Small/Mid Blend,898500000.0,11.92,0.88,2.0,Value,Small,USD,1.91,98.09,0.0,13.52,0.76,2.51,13.05,15.83,11.43,11.95,2.15,0.0,5.86,6.51,23.96,6.77,-21.47,33.19,-4.18
FCSPX,Federated Corporate Bond Strategy Portfolio,Corporate Bond,93840000.0,5.91,4.22,4.0,,,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.82,8.01,8.61
FCSRX,Fidelity Advisor Strategic Real Return Fund Class C,Allocation - 15% to 30% Equity,439310000.0,5.97,2.69,1.0,Blend,Medium,USD,1.32,13.91,29.12,35.59,6.24,0.0,1.8,0.52,94.94,0.0,0.0,0.0,2.74,0.0,0.0,0.0,-5.05,3.02,7.95
FCSTX,Fidelity California Limited Term Tax-Free Bond Fund,Muni Single State Short,732970000.0,1.51,1.74,4.0,Value,Medium,USD,0.34,0.0,99.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,2.27,-0.46
FCSZX,Franklin Convertible Securities Fund Advisor Class,Convertibles,3860000000.0,14.02,2.71,5.0,Value,Small,USD,5.15,5.41,0.0,0.0,0.0,28.4,0.0,24.42,0.0,0.0,0.0,19.65,0.0,0.0,27.53,0.0,4.56,18.24,7.96
FCTCX,Nuveen Connecticut Municipal Bond Fund Class C2,Muni Single State Long,224470000.0,2.26,2.42,2.0,Blend,Medium,USD,0.97,0.0,98.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3.55,-0.41
FCTFX,Fidelity California Municipal Income Fund,Muni California Long,2000000000.0,2.97,2.94,3.0,Blend,Medium,USD,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,5.8,-0.15
FCTGX,Fidelity Advisor Small Cap Growth Fund Class M,Small Growth,4010000000.0,19.63,0.0,4.0,Growth,Medium,USD,0.7,98.2,0.0,19.16,1.49,2.26,14.37,7.71,1.0,5.72,25.57,0.0,1.74,0.85,18.54,22.25,-5.11,28.29,10.34
FCTHX,Fidelity Advisor Freedom 2035 Fund Class C,Target-Date 2035,2390000000.0,11.49,0.89,3.0,Blend,Large,USD,6.81,81.0,11.47,15.27,1.5,4.3,10.5,21.85,2.61,6.64,12.1,1.96,3.03,6.61,10.29,20.1,-8.73,20.24,7.36
FCTIX,Franklin Connecticut Tax-Free Income Fund Class C,Muni Single State Long,218750000.0,1.64,2.61,1.0,Value,Medium,USD,0.13,0.0,99.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,1.35,0.56
FCTLX,Franklin Total Return Fund Class C,Intermediate-Term Bond,4290000000.0,4.28,2.42,3.0,Value,Small,USD,5.97,0.06,89.82,7.05,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.19,3.15,2.4
FCTRX,Nuveen Connecticut Municipal Bond Fund Class I,Muni Single State Long,224470000.0,2.36,3.21,4.0,Blend,Medium,USD,0.97,0.0,98.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,4.35,0.36
FCTTX,Nuveen Connecticut Municipal Bond Fund Class A,Muni Single State Long,224470000.0,2.31,2.99,3.0,Blend,Medium,USD,0.97,0.0,98.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,4.13,0.14
FCTWX,Fidelity Advisor Freedom 2025 Fund Class C,Target-Date 2025,2900000000.0,8.75,0.93,2.0,Blend,Large,USD,10.17,56.83,32.43,15.18,1.49,4.39,10.52,22.0,2.66,6.65,11.88,1.97,2.99,6.64,10.26,20.03,-6.36,15.27,6.35
FCVAX,Fidelity Advisor Small Cap Value Fund Class A,Small Value,2110000000.0,10.66,0.52,4.0,Value,Small,USD,3.86,95.67,0.47,13.1,0.86,3.37,15.04,26.53,11.01,2.93,1.99,4.67,0.0,7.35,18.19,8.91,-15.21,11.98,21.03
FCVCX,Fidelity Advisor Small Cap Value Fund Class C,Small Value,2110000000.0,10.48,0.09,3.0,Value,Small,USD,3.86,95.67,0.47,13.1,0.86,3.37,15.04,26.53,11.01,2.93,1.99,4.67,0.0,7.35,18.19,8.91,-15.9,11.1,20.14
FCVFX,Fidelity Advisor Value Fund Class C,Mid-Cap Value,89580000.0,16.14,0.0,2.0,Value,Medium,USD,0.89,99.11,0.0,12.93,0.87,11.52,13.8,13.71,8.85,5.91,7.73,5.57,2.35,7.64,14.79,8.14,-18.44,14.04,14.63
FCVIX,Fidelity Advisor Small Cap Value Fund Class I,Small Value,2110000000.0,10.72,0.76,4.0,Value,Small,USD,3.86,95.67,0.47,13.1,0.86,3.37,15.04,26.53,11.01,2.93,1.99,4.67,0.0,7.35,18.19,8.91,-14.97,12.26,21.32
FCVSX,Fidelity Convertible Securities Fund,Convertibles,1450000000.0,11.56,3.27,4.0,Growth,Large,USD,0.7,10.62,0.35,14.34,2.59,4.31,3.76,0.0,0.0,0.0,0.0,25.4,4.58,0.0,2.37,59.57,-1.49,9.66,5.97
